,sentence,label
1558,December 19  2007 Schumer and Clinton Announce Final Congressional Approval of Millions in Funding for New York s North Country                                                                                                                                                                                                                                                                                                    Bill Now Goes to the President for Signature   Schumer  Clinton Welcome Funding for Fort Drum and St  Lawrence Rural Broadband Expansion                                                                                                                                                                                                                                                                 Washington  DCSenators Charles E  Schumer and Hillary Rodham Clinton today announced final Congressional approval of the Fiscal Year 2008 Omnibus Appropriations Bill  which includes funding for projects in New Yorks North Country  The omnibus bill  having passed both houses of Congress will now go to the President to be signed into law    These projects are crucial to fueling economic growth across the North Country and for giving local residents top notch services in education and health care  said Senator Schumer  By investing in these vital projects  we ensure that the North Country continues to lure new businesses and tourists to the region  while ensuring families have the first class services they need    These funds are going to allow wide ranging projects in the North Country to move forward  said Senator Clinton   Bringing broadband Internet to the regions rural areas will provide new avenues of commerce and growth for local economies   In addition  this funding will provide a great boost to Ft  Drums infrastructure   I welcome investments in these projects and for others that will strengthen the regions communities    The Omnibus Appropriations bill includes funding for the following projects for New Yorks North Country         ,0
439,   Obama Statement on Committee Passage of the Farm Bill   U S  Senator Barack Obama                       Barack Obama                                                                             Obama Statement on Committee Passage of the Farm Bill Thursday  October 25  2007  FOR IMMEDIATE RELEASE   CONTACT  Amy Brundage  202 228 5511 WASHINGTON  D C      U S  Senator Barack Obama  D IL  today released the following statement on the passage of the farm bill out of the Senate Agriculture  Nutrition and Forestry Committee      I applaud Chairman Harkin for his tireless efforts on this bill  and for gaining important ground on many of the priorities for our family farmers   The bill maintains a strong safety net for family farmers  and provides more funding for conservation and nutrition and rural development   By increasing funding for renewable energy  the legislation recognizes those farmers who are working to lessen our dependence on foreign oil   I am pleased that it includes a provision I cosponsored to expand E 85 fuel infrastructure to help the ethanol and biofuels industry succeed     We need to do more to reform payment limits to make sure that farm program assistance is going to those who need it   family farm operations   not big agribusiness interests   I will support separate legislation sponsored by Senators Grassley  Dorgan and Harkin that will achieve the payment limitations we need to make sure our family farmers have the support from the federal government that they deserve                                       ,1
346,   Obama Cosponsors Resolution Recognizing the 60th Anniversary of Integration of the U S  Military     U S  Senator Barack Obama                       Barack Obama                                                                           Obama Cosponsors Resolution Recognizing the 60th Anniversary of Integration of the U S  Military   Wednesday  July 23  2008  FOR IMMEDIATE RELEASE                                              CONTACT  Michael Ortiz  202 228 5566 WASHINGTON  D C    U S  Senator Barack Obama joined Senator Sherrod Brown to cosponsor a resolution commemorating the 60th anniversary of the integration of the U S  military   On July 26  1948  President Harry S Truman signed Executive Order 9981  declaring equal opportunity and treatment in the Armed Forces without regard to race     Sixty years ago  President Truman courageously ordered the integration of the U S  Armed Forces  forever changing the face of the military and helping end the racial division in our ranks     This historic step allowed service members of all backgrounds and races across the country to serve alongside each other on the battlefield with a shared spirit  common bond  and love of country   Today  our military is stronger  more united  and more diverse than ever   It is without question  the finest military in the world   President Truman s action also paved the way for an end to racial segregation in all parts of American society   I am proud to join with my colleagues to introduce this resolution  and will continue to work to ensure all service members and veterans receive our nation s utmost support                                  Pursuant to  policy  newsletters  petitions  opinion polls  and issue alerts and other electronic communications cannot be initiated by this office for the 60 day period immediately before the date of a primary or general election      ,1
1389,July 17  2007 Senator Clinton Introduces Bill to Give Servicewomen Access to Emergency Contraception                                                                                                                                                                                                                                                                                                                            The Compassionate Care for Servicewomen Act  Will Ensure Servicewomen Have Access to EC                                                                                                                                                                                                                                                                                                                          Washington  DC   Senator Hillary Rodham Clinton  D NY  introduced legislation today to ensure that U S  servicewomen have access to and information about emergency contraception  EC   Congressmen Mike Michaud  D ME  and Chris Shays  R CT  are the champions of this legislation in the House of Representatives     Women deserve access to EC and our servicewomen are no different  Ensuring that EC is more broadly available at military health care facilities is a fair  common sense step that everyone should be able to agree on  said Senator Clinton     Current Department of Defense policy does not require EC to be available at all health care facilities  In fact  current availability of EC is up to the discretion of each individual facility  According to the Pentagon  the number of reported sexual assaults in the military increased approximately 24 percent in 2006  nearly 3000 incidents were reported in 2006 compared to almost 2400 in 2005  Given this unfortunate spike in reports of sexual assault cases in the military  access to EC is needed now more than ever  The Compassionate Care for Servicewomen Act simply ensures that EC is available at all facilities for our servicewomen    Last year  the FDA made emergency contraception available over the counter for women eighteen years of age and older   Research shows that emergency contraception is safe and effective for preventing pregnancy  More than 70 major medical organizations  including the America Academy of Pediatrics  recommended that Plan B be made available over the counter   By providing access to emergency contraception  up to 95 percent of unintended pregnancies could be prevented if emergency contraception is administered within the first 24 to 72 hours    The Compassionate Care for Servicewomen Act is also sponsored in the Senate by Senators Evan Bayh  D IN   Barbara Boxer  D CA   Charles Schumer  D NY   Tom Harkin  D IA   Joseph Lieberman  I CT  and Frank Lautenberg  D NJ          ,0
433,   Obama Statement on Today   s Middle Eastern Summit   U S  Senator Barack Obama                       Barack Obama                                                                           Obama Statement on Today   s Middle Eastern Summit Monday  June 25  2007  FOR IMMEDIATE RELEASE  CONTACT   Ben LaBolt       Obama Statement on Today   s Middle Eastern Summit WASHINGTON  D C      U S  Senator Barack Obama  D IL  today released the following statement on today   s Middle Eastern Summit      Today s summit in Sharm el Sheikh is encouraging  I support the efforts of Prime Minister Olmert  President Mubarak  and King Abdullah to strengthen President Mahmoud Abbas and Prime Minister Salam Fayyad     two Palestinian leaders who have demonstrated their commitment to non violence and achieving peace with Israel   These leaders seek peace and deserve the support of the international community         I applaud Prime Minister Olmert s announcements that Israel will release Palestinian prisoners as a gesture of goodwill   We hope that this goodwill  along with the unfrozen tax revenues being sent from Israel to the Palestinian Authority  will help strengthen a Palestinian partner for peace with Israel         I commend these regional leaders for their initiative  But it is critical that the United States demonstrate leadership if this effort is to succeed  A senior U S  presence at this summit could have been helpful          The absence of U S  leadership in the past has helped open the door to extremism in the West Bank and Gaza   Direct U S  presidential leadership is needed now to ensure the Europeans maintain their isolation of Hamas  to press Egypt to do everything possible to prevent arms smuggling into Gaza  and  to get other Arab states to provide political support to President Abbas and Prime Minister Fayyad and humanitarian aid to Gazans that does not flow through Hamas institutions          We need to help these moderate leaders demonstrate that they can deliver for their people   Israel and the Palestinian Authority can work together to improve the security of their people  and we can help by ensuring a resumption of aid  improved security cooperation  a renewed negotiating process  and help reforming Fatah and the Palestinian Authority          This moment is an opportunity to let Palestinians know that we will work toward the goal of achieving a viable  democratic Palestinian state in the West Bank and Gaza living side by side with Israel and peace and security  but that this goal can only be achieved through acceptance of Israel and a commitment to non violence                                      ,1
435,   Obama Applauds Murphy  Souder  Oversight Committee Members for Introducing  Google for Government  Bill   U S  Senator Barack Obama                       Barack Obama                                                                          Obama Applauds Murphy  Souder  Oversight Committee Members for Introducing  Google for Government  Bill Thursday  June 26  2008  FOR IMMEDIATE RELEASE                                              Contact  Kristen Bossi  Murphy  or Michael Ortiz  Obama  Mirrors Obama Coburn Legislation to Update USASpending gov WASHINGTON  D C    Today  U S  Representatives Chris Murphy  CT 5   Mark Souder  IN 3  House Oversight and Government Reform Committee Chairman Henry Waxman  CA 30   Subcommittee on Government Management  Organization  and Procurement Chairman Ed Towns  NY 10   Subcommittee on Information Policy  Census  and National Archives Chairman Wm  Lacy Clay  D MO 1   Virginia Foxx  NC 5   and John Shadegg  AZ 3  introduced bipartisan legislation to make it easier for the public to find out how their tax dollars are being spent    Currently  USASpending gov acts as a clearing house for this information  this legislation would expand the information available on the web site  as well as make the data more accessible and readable   The Strengthening Transparency and Accountability in Federal Spending Act of 2008  also known as the  Google for Government  Act  is identical to a bill introduced in the Senate by Senator Barack Obama of Illinois and Senator Tom Coburn of Oklahoma  with the support of Senator John McCain of Arizona and Senator Tom Carper of Delaware   In the past year and half  we ve opened up the books on how the Congress does business   This bill makes it even easier for taxpayers to see how their government is operating   said Representative Murphy   Government transparency is fundamental to our democracy  and I am pleased to cosponsor this bipartisan legislation  which will enhance the amount  and type  of information available to the American public   Simply put  this bill would make the federal government more accountable   said Representative Souder  Updating USASpending gov would allow visitors to view copies of Federal contracts  as well as information about competitive bidding  government lease agreements  earmarks  Federal audit disputes  work quality  Federal tax compliance  any violations or criminal activities  and government reports   USASpending gov was launched in December 2007   It currently allows taxpayers to view approximately  1 trillion in Federal grants  contracts  earmarks  provides updates of data concerning Federal spending  and displays spending data according to contractor  grantee  and congressional district     Our government took an important step last year by launching USASpending gov and giving ordinary citizens an important tool to hold Washington accountable for its spending   said Senator Obama    While USASpending gov has had tremendous success  we can make it even more accessible by expanding the information available on the website and improving the quality of government financial data   I commend my colleagues in the House for offering bipartisan companion legislation  and I look forward to Congress passing this legislation soon    In our system of government  the best ethics reform has always been frequent elections and the ability of citizens to hold their elected officials accountable   This legislation will give the American people valuable new tools in that effort   said Senator Coburn   This bill continues our work to bring more sunshine to where taxpayer dollars go   I am happy to join Senators Obama and Coburn in boosting oversight of contractors   said Chairman Towns   Taxpayers deserve full accountability and easy access to see how their money is spent   This bill makes tracking federal spending easier  more complete and more accurate   said Chairman Clay   Strengthening government accountability and ensuring that average taxpayers can access up to date information on government spending is just plain common sense   Throwing open the doors of government to the sunshine of public access and accountability will make government more responsive to the American citizenry and this legislation advances that critical goal   said Representative Foxx   The American people have a right to know how we re spending their money   This legislation is a first and important step to improving fiscal accountability in the federal government   The more accountable our government becomes  the less it will waste   said Representative Shadegg                                Pursuant to  policy  newsletters  petitions  opinion polls  and issue alerts and other electronic communications cannot be initiated by this office for the 60 day period immediately before the date of a primary or general election      ,1
500,   Obama Calls on Bush Administration to Examine DHL UPS Agreement for Services   U S  Senator Barack Obama                       Barack Obama                                                                            Obama Calls on Bush Administration to Examine DHL UPS Agreement for Services Tuesday  July 29  2008  FOR IMMEDIATE RELEASE                                              CONTACT  Michael Ortiz  202 228 5566 More than 8 000 jobs could be eliminated due to the agreement WASHINGTON  D C        U S  Senator Barack Obama today sent the following letter to Karl Zinsmeister  Director of the White House s Domestic Policy Council  asking the Administration to carefully examine the consolidation of DHL air operations under UPS   If the consolidation of these competitors  air services is successful  at least 8 000 jobs will likely be eliminated throughout the state of Ohio   In the letter  Obama calls on the White House to urge the Department of Justice to examine the agreement to ensure it is not in violation of antitrust laws and  ask the Department of Labor to detail its efforts to assist these unemployed workers and whether the Department s response could serve as model for other communities experiencing concentrated job loss  The text of the letter is below  Dear Mr  Zinsmeister  During my recent travels  I visited with the mayor of Wilmington  Ohio and workers who would be affected by a proposed DHL UPS agreement for services that would lead to the closing of the DHL facility in Wilmington    I write to you in my capacity as a U S  Senator because I believe that the Administration must act now on two fronts  first  the Department of Justice should examine the transaction to ensure that it is not in violation of antitrust laws and second  if it is not  then the government must work to ensure that these workers and this community are not left without assistance in finding new work for its people and new use for the existing infrastructure   I am pleased that you and Assistant Secretary of Commerce Sandy Baruah have been tasked with coordinating the government response to the situation and wish to offer any assistance I or my staff can provide  As a matter of antitrust law  the proposed consolidation of DHL s domestic airlift operations under a competitor  UPS  raises concern   At the very least  the DOJ should examine whether having two competitors in a fairly concentrated market act as partners would have anti competitive effects  If the deal proceeds  Governor Strickland and Senator Brown have both told me that the DHL facility in Wilmington would likely cease operating   That would eliminate at least 8 000 jobs in Ohio and impact an estimated 41 counties   That level of concentrated job loss strongly weighs in favor of the government assisting them through the difficult time that will follow   I understand that you are working with the Department of Labor and the Department of Commerce to coordinate a rapid response to what could be a crisis for the communities involved   As a Senator on the committee of jurisdiction over the Department of Labor  I would appreciate additional detail on your efforts and how responding to this situation could serve as a model for other communities where concentrated job loss is occurring due to plants moving overseas or increasingly consolidating markets   Sincerely     Barack Obama  United States Senator  Cc  Sandy Baruah  Assistant Secretary of Commerce for Economic Development                               Pursuant to  policy  newsletters  petitions  opinion polls  and issue alerts and other electronic communications cannot be initiated by this office for the 60 day period immediately before the date of a primary or general election      ,1
1506,October 18  2006 Statement of Senator Hillary Rodham Clinton Regarding the Department of State  s Passport Card Proposal                                                                                                                                                                                                                                                                                                           Click here to listen to audio of Senator Clinton s statement         As I have long maintained  national security and the security of our borders are of paramount importance   But the announcement by the Department of State and the Department of Homeland Security  DHS  that they are submitting for public comment a federal rule for the development of a costly card format passport for international travel by U S  citizens through land and sea ports of entry between the United States and Canada ignores the real and practical concerns of New York  s border communities   The agencies are proposing this passport alternative to meet the requirements of the Western Hemisphere Travel Initiative  WHTI  but the People Access Security Service  PASS  card proposal  which would require families to purchase cards at a cost of  35 per child and  45 per adult  is likely to have a gravely negative impact on families  tourism  and the regional economy          There is little doubt that the cost of the contemplated PASS card would adversely affect the tourism and retail industry on both sides of the U S  Canada border  The exchange of goods between the United States and Canada is the largest trading relationship in the world   Studies indicate that this vital flow of commerce would decrease dramatically if the contemplated PASS card    or in the alternative  the even more expensive passport    were required to travel between the two countries            Furthermore  the people who live in our shared border areas regard themselves as one community of neighbors   American children play sports in Canadian youth leagues   Canadian families visit relatives who live in the U S  Americans and Canadians frequent each others homes and businesses   Imposing this costly and onerous requirement will adversely affect these communities          I remain committed to a passport alternative that properly balances our mutual interest in a secure northern border with our desire to maintain communities that are both economically and socially vibrant   Unfortunately  the PASS card proposal made by the Department of State and DHS does not yet appear to strike this proper balance             ,0
1202,March 15  2007 Senator Clinton Meets with Taoiseach Ahern Today in Washington  DC                                                                                                                                                                                                                                                                                                                                               Washington  DC   Senator Hillary Rodham Clinton today met with Taoiseach Bertie Ahern in Washington to discuss Ireland s progress to establish peace  Taoiseach Ahern is in the United States this week for the annual St  Patrick s Day events          During their meeting on Capitol Hill  Taoiseach Ahern and Senator Clinton discussed a wide array of issues focusing on the Irish elections  the peace talks and the future of Northern Ireland  They discussed the elections on March 6th and 7th and the upcoming deadline of March 26th for forming a new government  During the meeting  Senator Clinton expressed her support for Ireland and the peace process and her gratitude to the Taoiseach for his service to Ireland over the past 10 years  The Taoiseach and Senator Clinton also discussed their hopes for continued economic and educational links between New York and Ireland            It was a pleasure to meet with the Taoiseach again  I was certainly heartened by the elections earlier this month and I believe that they were a positive step for the nation  I look forward to continuing to support the peace process and to fostering the already strong economic ties between New York State and Ireland           Earlier this week  Senator Clinton welcomed a tremendous honor from the Irish America Magazine for her longstanding support for Ireland and the Irish American community  At a ceremony in New York City on Sunday night  Senator Clinton was named  Person of the Year  at the Twenty Second Annual  Top 100  Awards Ceremony where one hundred of the nation s top Irish Americans were honored for their outstanding achievements and their commitment to their Irish heritage          ,0
1630,August 1  2005 Schumer  Clinton Announce Over  562 000 for Schenectady County Airport                                                                                                                                                                                                                                                                                                                                           Federal Money will be used for Improvements and Rehabilitation                                                                                                                                                                                                                                                                                                                                                   US Senators Charles E  Schumer and Hillary Rodham Clinton today announced that the US Department of Transportation has awarded  562 875 in Federal Aviation Administration  FAA  funds to the Schenectady County Airport  The money will be used for runway construction            This is great news for Schenectady County   said Schumer   The Schenectady County Airport welcomes travelers to New York each year  and these improvements are important for local businesses and strengthening the local economy   I will continue to fight for federal funds to help the airport remain a thriving center of activity and a hub for economic growth in the region             This funding is a very welcome investment in Schenectady County     Senator Clinton said    I am pleased that we can support the airport with this funding and continue investing in safe and convenient air travel because more flights simply mean better economic opportunities for Schenectady             This grant will provide federal funding for Runway 28 Safety Area improvements at Schenectady County Airport  This project will bring the runway up to Federal Aviation grading standards as well as allow the airport to better serve the needs of current and future travelers in New York          ,0
2,   Obama Says Bill Will Help Cut Off Supply of Dangerous Methamphetamine   U S  Senator Barack Obama                       Barack Obama                                                                           Obama Says Bill Will Help Cut Off Supply of Dangerous Methamphetamine Thursday  July 28  2005  FOR IMMEDIATE RELEASE  Washington Contact  Robert Gibbs or Tommy Vietor   202  228 5511  Illinois Contact  Julian Green     Date  July 28  2005  Obama Says Bill Will Help Cut Off Supply of Dangerous Methamphetamine   WASHINGTON   U S  Senator Barack Obama  D IL  today said that more strict regulation of the ingredients used to produce methamphetamine will drastically cut production and use of the deadly drug    Meth use has become an epidemic in Illinois  especially in Downstate and rural communities   said Obama   This tough new law will prevent those who use over the counter drugs to make meth and sell it to our children from getting the quantities that they need  helping us get this dangerous drug out of our schools and off the streets     Obama is a cosponsor of the bipartisan Combat Meth Act of 2005  This bill will require over the counter cold medicines that contain pseudoephedrine to be locked behind the counter  It will also limit the quantity that can be bought in a month  require that purchasers show identification  and authorize  43 million for enforcement  training  and research into treatment    Methamphetamine use is an epidemic across the United States  A recent survey by the National Association of Counties found that 58 percent of law enforcement officials surveyed identified meth use as their greatest drug challenge  Eighty seven percent of the counties found an increase in the number of meth related arrests in the past three years  Seventy percent of the counties said meth use had caused an increase in robberies and burglaries  fifty three percent reported an increase in assault cases and sixty two percent reported an increase in domestic violence    Criminals use pseudoephedrine  a chemical commonly found in over the counter cold medicines like Pseudofed  to make methamphetamine in home laboratories  According to the Illinois Criminal Justice Authority  the number of these labs raided by law enforcement officials increased dramatically between 1994 and 2003  from 24 to 971  Seventy five percent of those facilities were located in rural counties  During that same period  the quantity of methamphetamine seized increased from 3 433 grams to 26 597 grams    Part of the reason why meth use has increased so dramatically over the past decade is because it is so easy to make   said Obama   This bill will help cut off the supply of the ingredients used to make it  and help keep our communities safe from this terrible drug     The bill passed the Judiciary Committee today                                   ,1
818,May 11  2005 Senator Clinton Underscores Urgent  Need to Create Health IT Infrastructure                                                                                                                                                                                                                                                                                                                                      Highlights Bipartisan Support for Health IT Legislation                                                                                                                                                                                                                                                                                                                                                          Washington  DC   Senator Hillary Rodham Clinton today joined former House Speaker Newt Gingrich and Representatives Patrick Kennedy  RI  and Tim Murphy  PA  in calling for a bipartisan effort to strengthen health care by bringing health care technology into the 21st century  Praising House legislation being introduced today  Senator Clinton stated that she would be working with Senate Majority Leader Bill Frist and others on comprehensive  bipartisan legislation to encourage adoption of information technology in our health care system          We have the most advanced medical system in the world  yet patient safety is compromised every day due to medical errors  duplication and other inefficiencies   said Senator Clinton   Harnessing the potential of information technology will help reduce errors and improve quality in our health system  The legislation being introduced in the House today takes an important step forward in making our health care system more effective and efficient          Senator Clinton emphasized that our health care system faces an escalating crisis as health care costs continue to skyrocket  Americans are spending  1 7 trillion on health care every year  accounting for 15 3 percent of our gross domestic product  at an average cost of  5 670 per person  While the United States leads the world in health care spending  this money is not applied to ensure the delivery of quality care  In fact  a Rand Corporation study found that patients receive recommended care only about 55 percent of the time  Our lagging health IT infrastructure compounds the problem  contributing to fragmentation  waste and inefficiency in our health care system         Research by the Government Accountability Office  GAO  has found that the benefits of an electronic health information system include improved quality of care  reduced costs associated with medical errors  more accurate and complete medical documentation  more accurate capture of codes and charges  and improved communication among providers enabling them to respond more quickly to patients  needs        Senator Clinton stated that she looks forward to working with Senator Frist and her colleagues in developing a national  interoperable health information infrastructure that promotes the adoption of health information technology throughout our healthcare delivery system and improves the quality of care  This effort would build on the legislation she introduced in 2003 to lay the groundwork for creating a health IT infrastructure         Information technology has radically changed business and so many other aspects of American life  It s time we use the power of the information age to improve health care  If we do  we can dramatically improve the quality of care  I look forward to working with my colleagues to enact a strong  comprehensive health IT and quality bill              ,0
1042,October 13  2005 Clinton Renews Call for President and Administration to Act on Potential Terrorist Threat Posed by General Aviation Aircraft to Populated and Key Areas                                                                                                                                                                                                                                                          Senator urges action following theft of charter jet in Florida                                                                                                                                                                                                                                                                                                                                                   Washington  DC    Senator Hillary Rodham Clinton today urged the Department of Homeland Security and the Department of Transportation to conduct a nationwide assessment of the potential threat posed to cities  states  and key infrastructure from the theft or misuse of general aviation aircraft by criminals or terrorists  The Senator  s renewed call comes after the latest report that a man was arrested on charges of stealing a Cessna Citation 7 plane and taking it on a 350 mile joy ride from Florida to Georgia  Earlier this year  an intoxicated individual stole a small Cessna 172 aircraft from an airport in Danbury  CT  eventually landing at the Westchester County Airport  located just to the east of the Indian Point nuclear facility          Following the Danbury incident  the House and Senate Conferees negotiated a final FY 2006 Homeland Security Appropriations bill which included a requirement  authored by Senator Clinton  for a report to be done by the Secretary of Homeland Security and the Secretary of Transportation assessing the dangers posed to high risk  large populations and critical infrastructure areas  should general aviation aircraft be stolen and used as a weapon  The study would also require an assessment of the vulnerabilities of general aviation airports and aircraft  Senators Durbin  D IL   Lautenberg  NJ   Corzine  NJ   Schumer  NY   and Lieberman  CT  co sponsored the original Amendment             Thankfully  the recent thefts of planes in Florida and Connecticut ended without any damage  destruction or death and were not acts of terrorism   But  they are a significant forewarning of the types of threats to which our communities remain vulnerable     Senator Clinton said    Our nuclear plants  key infrastructure  military bases  not to mention our large cities  could be threatened should a coordinated attack occur and all of the advances we have made in the area of homeland security could be subverted if general aviation airports can be breached this easily and airplanes used as weapons                I believe that this kind of national assessment is absolutely necessary to avoid a repeat of the type of attack carried out on September 11  2001 or some sinister copycat of it     Senator Clinton said    The 9 11 Commission warned us of this vulnerability and we must not turn away from the challenge of assessing threats posed by thefts or hijackings of general aviation aircraft              It is estimated that there are more than 19 000 landing facilities nationwide  including heliports  lakes  and dirt landing strips from which aircraft could be launched and more than 200 000 general aviation aircraft in the United States           In its report  the 9 11 Commission concluded that     M ajor vulnerabilities still exist in cargo and general aviation security   These  together with inadequate screening and access controls  continue to present aviation security challenges     The report also said that part of the failure of the U S  government  s ability to thwart the September 11th terrorist attacks using airplanes was  in part  due to a lack of imagination about new and emerging threats in the bureaucracy           In May 2004 the Transportation Security Administration  TSA  issued their   Security Guidelines for General Aviation Airports     in which they outlined some guidelines general aviation airports should follow in order to secure aircraft and airfields  However  the same report also stated that    A s vulnerabilities within other areas of aviation have been reduced  General Aviation may be perceived as a more attractive target and consequently more vulnerable to misuse by terrorists              Specifically  the report created by Senator Clinton would require the Secretary of Homeland Security  in coordination with the Secretary of Transportation  to report on the vulnerability posed to high risk areas and facilities from general aviation aircraft that could be stolen or used as a weapon against those areas within 120 days upon enactment of the bill into law  Such areas to be considered include those with critical transportation infrastructure  nuclear facilities  military bases  and other highly populated areas with similarly situated critical infrastructure  The report will include an analysis of what security vulnerabilities exist at general aviation airports that would permit a general aviation aircraft to be stolen and used as a weapon  whether existing security precautions to prevent breaches of flight lines  perimeters  and aircraft are sufficient  and any additional security measures that could increase the security of general aviation aircraft and airports             I respect and admire the work being done by the general aviation fixed base operators  pilots  owners  airport managers  and others who have worked hard to increase security measures at general aviation airports     Senator Clinton said    General aviation is a significant contributor to the national economy and I believe our aviators should enjoy the freedom of flight throughout the country while at the same time our Department of Homeland Security can ensure safety on the ground             ,0
1580,December 19  2007 Schumer and Clinton Announce Senate Passage of Millions in Funding for the Hudson Valley Region                                                                                                                                                                                                                                                                                                                  Funds Included as Part of the Fiscal Year 2008 Omnibus Appropriations Bill                                                                                                                                                                                                                                                                                                                                        Washington  DCSenators Charles E  Schumer and Hillary Rodham Clinton today announced Senate approval of the Fiscal Year 2008 Omnibus Appropriations Bill  which includes funding for projects in New Yorks Hudson Valley Region  The omnibus bill  which includes 11 appropriations bills  will go before the House for final passage before being sent to the President for signature    These projects are crucial to fueling economic growth across the Hudson Valley and for giving local residents top notch services in education  law enforcement and health care  said Senator Schumer  By investing in these vital projects  we ensure that Hudson Valley continues to lure new businesses and tourists to the region  while ensuring families have the first class services they need    The funds included in this bill are a wise investment in the Hudson Valley  and will touch the lives of many New Yorkers  said Senator Clinton   These projects will help to improve our schools  military capabilities  and communities  and will strengthen New Yorks economy and infrastructure    The Omnibus Appropriations bill includes funding for the following projects for the Hudson Valley Region          ,0
191,   Durbin  Obama Emanuel Call for Public hearing on IDEM Permit for US Steel   U S  Senator Barack Obama                       Barack Obama                                                                             Durbin  Obama Emanuel Call for Public hearing on IDEM Permit for US Steel Wednesday  October 17  2007  FOR IMMEDIATE RELEASE  Contact  Christina Mulka  Durbin   Amy Brundage  Obama   Kathleen Connery  Emanuel   or Sarah Feinberg  Nick Papas  Lawmakers Fight for a Clean Lake Michigan  WASHINGTON  DC     U S  Senator Dick Durbin  Senator Barack Obama  D IL  and Congressman Rahm Emanuel  D IL  today sent a letter to the U S  Environmental Protection Agency  EPA  Region 5 Administrator  Mary Gade calling for a public hearing on the Indiana Department of Environmental Management wastewater permit for U S  Steel Gary Works that was recently rejected by the EPA       In  a public hearing   the EPA can explain its objection to the IDEM action and consider the concerns of regional stakeholders   Options can be discussed  in a fully open way that would best meet U S  Steel   s business needs without threatening the Lake with increased levels of pollution     the Illinois members wrote      We urge you to work toward resolving the U S  Steel Gary Works wastewater permit issue in a way that actively engages all interested parties through a public hearing     Last week  Durbin and Emanuel sent four letters regarding the proposed IDEM permit   In a letter to the EPA Administrator  Stephen Johnson  both Illinois members commended EPA for rejecting the proposed IDEM permit and urged them to review all proposed permits in order to ensure compliance with the Clean Water Act   Further  in their letter to the EPA Region 5 Administrator  Mary Gade  Durbin and Emanuel questioned U S  Steel   s compliance with the Clean Water Act   In their letter to the Governor of Indiana  Mitch Daniels  Durbin and Emanuel stressed that economic development and protecting the Great Lakes can and should go hand in hand   Finally  in a letter to the Chairman and CEO of U S  Steel Corporation  John Surma  signed by Durbin  Obama  Emanuel and several members of the Illinois Congressional Delegation  they asked for a meeting to discuss the company   s decision to seek a permit that threatens water quality in Lake Michigan   Text of Letter   October 17  2007  Ms  Mary Gade  Administrator   U S  Environmental Protection Agency Region 5  77 W  Jackson Blvd   Chicago  IL 60604   Dear Administrator Gade  As we expressed to you on October 12  the Indiana Department of Environmental Management   s proposed wastewater permit for U S  Steel Corporation   s Gary Works facility in Gary  Indiana  would have disturbing consequences for the health of Lake Michigan and the nation   s commitment to the Clean Water Act   Under the spotlight of public attention  a U S  Steel spokesman yesterday said that the company wants to work with the EPA on resolving this issue    With that in mind  our belief is that the best way forward would include a public hearing held by the EPA   In such a forum  the EPA can explain its objection to the IDEM action and consider the concerns of regional stakeholders   Options can be discussed  in a fully open way  that would best meet U S  Steel   s business needs without threatening the Lake with increased levels of pollution  We urge you to work toward resolving the U S  Steel Gary Works wastewater permit issue in a way that actively engages all interested parties through a public hearing    Sincerely     Richard J  Durbin                                                                        U S  Senator                                                                             Barack Obama  U S  Senator    Rahm Emanuel  Member of Congress                                  ,1
654,   Obama Raises Concerns With Nominee for Surgeon General   U S  Senator Barack Obama                       Barack Obama                                                                           Obama Raises Concerns With Nominee for Surgeon General Thursday  June  7  2007  FOR IMMEDIATE RELEASE  Contact  Ben LaBolt  Obama     WASHINGTON  DC    U S  Senator Barack Obama  D IL  today released the following statement on the nomination of Dr  James Holsinger for Surgeon General     America   s top doctor should be a doctor for all Americans  and so I have serious reservations about nominating someone who would inject his own anti gay ideology into critical decisions about the health and well being of our nation   As with other nominees  I will listen to the testimony of Dr  James Holsinger  but this Administration must know that the United States Surgeon General   s office is no place for bigotry or ideology that would trump sound science and good judgment                                      ,1
